open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957283081,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692957283081,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692957283812,m1Cmd:11.262,m2Cmd:14.736,m3Cmd:11.086,s1Cmd:12.775,s2Cmd:-5.475,duration:730
Cmdms:1692957283817,m1Cmd:11.337,m2Cmd:14.836,m3Cmd:11.161,s1Cmd:12.8625,s2Cmd:-5.5125,duration:735
Cmdms:1692957283823,m1Cmd:11.427,m2Cmd:14.956,m3Cmd:11.251,s1Cmd:12.9675,s2Cmd:-5.5575,duration:741
Cmdms:1692957283828,m1Cmd:11.502,m2Cmd:15.056,m3Cmd:11.326,s1Cmd:13.055,s2Cmd:-5.595,duration:746
Anglems:1692957283828,m1:9.2,m2:12.544,m3:9.816,s1:12.1014,s2:-4.932 ,duration:746
Velms:1692957283828,velM1:8.784,velM2:26.352,velM3:13.176,velS1:17.7,velS2:7.2 ,duration:746
Cmdms:1692957283834,m1Cmd:11.577,m2Cmd:15.156,m3Cmd:11.401,s1Cmd:13.1425,s2Cmd:-5.6325,duration:751
Cmdms:1692957283839,m1Cmd:11.667,m2Cmd:15.276,m3Cmd:11.491,s1Cmd:13.2475,s2Cmd:-5.6775,duration:757
Cmdms:1692957283845,m1Cmd:11.742,m2Cmd:15.376,m3Cmd:11.566,s1Cmd:13.335,s2Cmd:-5.715,duration:762
Cmdms:1692957283850,m1Cmd:11.832,m2Cmd:15.496,m3Cmd:11.656,s1Cmd:13.44,s2Cmd:-5.76,duration:768
Cmdms:1692957283856,m1Cmd:11.907,m2Cmd:15.596,m3Cmd:11.731,s1Cmd:13.5275,s2Cmd:-5.7975,duration:773
