open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692950783593,m1:-0.128,m2:0.048,m3:0.136,s1:0,s2:0
*vel ms:1692950783593,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950784189,m1Cmd:11.772,m2Cmd:17.898,m3Cmd:6.086,s1Cmd:17.85,s2Cmd:17.85,duration:595
Cmdms:1692950784194,m1Cmd:11.892,m2Cmd:18.078,m3Cmd:6.146,s1Cmd:18.03,s2Cmd:18.03,duration:601
Cmdms:1692950784199,m1Cmd:11.992,m2Cmd:18.228,m3Cmd:6.196,s1Cmd:18.18,s2Cmd:18.18,duration:606
Cmdms:1692950784205,m1Cmd:12.092,m2Cmd:18.378,m3Cmd:6.246,s1Cmd:18.33,s2Cmd:18.33,duration:611
Cmdms:1692950784210,m1Cmd:12.212,m2Cmd:18.558,m3Cmd:6.306,s1Cmd:18.51,s2Cmd:18.51,duration:617
Cmdms:1692950784217,m1Cmd:12.312,m2Cmd:18.708,m3Cmd:6.356,s1Cmd:18.66,s2Cmd:18.66,duration:622
Anglems:1692950784217,m1:9.288,m2:15.536,m3:5.24,s1:16.848,s2:17.1054 ,duration:622
Velms:1692950784217,velM1:21.96,velM2:26.352,velM3:4.392,velS1:30,velS2:30.3 ,duration:622
Cmdms:1692950784222,m1Cmd:12.452,m2Cmd:18.918,m3Cmd:6.426,s1Cmd:18.87,s2Cmd:18.87,duration:629
Cmdms:1692950784227,m1Cmd:12.552,m2Cmd:19.068,m3Cmd:6.476,s1Cmd:19.02,s2Cmd:19.02,duration:634
Cmdms:1692950784233,m1Cmd:12.652,m2Cmd:19.218,m3Cmd:6.526,s1Cmd:19.17,s2Cmd:19.17,duration:639
Cmdms:1692950784239,m1Cmd:12.772,m2Cmd:19.398,m3Cmd:6.586,s1Cmd:19.35,s2Cmd:19.35,duration:645
Cmdms:1692950784245,m1Cmd:12.892,m2Cmd:19.578,m3Cmd:6.646,s1Cmd:19.53,s2Cmd:19.53,duration:651
Cmdms:1692950784250,m1Cmd:13.012,m2Cmd:19.758,m3Cmd:6.706,s1Cmd:19.71,s2Cmd:19.71,duration:657
